batc     batch
bato     baton
batr     albatross
batw     batwing
baub     bauble
baud     baud
baux     bauxite
bawl     bawl
baya     Kobayashi
bayb     bayberry
baye     bayed
baza     bazaar
bbag     cabbage
bbas     abbas
bbea     Caribbean
bbes     Hobbes
bbey     abbey
bboc     Lubbock
bbol     shibboleth
bbor     stubborn
bbou     gibbous
bbre     abbreviate
bbro     gabbro
bbub     hubbub
bbut     kibbutzim
bcap     mobcap
bcat     bobcat
bcoc     Babcock
bdat     molybdate
bdic     abdicate
bdis     Charybdis
bdow     rubdown
bdri     cabdriver
bduc     abduct
beav     beaver
bebo     bebop
becc     Rebecca
beci     imbecile
becl     becloud
beco     become
becu     barbecue
beda     bedazzle
bedb     bedbug
bede     bedevil
bedf     bedfast
bedl     bedlam
bedp     bedpost
bedt     bedtime
beeb     beebread
beeh     beehive
been     been
beep     beep
beer     beer
befe     befell
befu     befuddle
bega     began
begr     begrudge
behi     behind
beho     behold
beia     plebeian
beig     beige
beis     obeisant
beit     albeit
bekn     unbeknownst
bela     belate
belc     belch
belf     belfry
bels     Abelson
belu     Nibelung
bely     belying
bemo     bemoan
bemu     bemuse
bena     verbena
bens     lebensraum
beph     hebephrenic
bepl     beplaster
berb     fiberboard
berk     berkelium
bero     Gaberones
beru     Cerberus
besc     pubescent
besg     Lebesgue
beso     besotted
besq     arabesque
bevy     bevy
bewh     bewhisker
beyo     beyond
beze     bezel
bezz     embezzle
bgob     hobgoblin
bhol     jobholder
bhou     clubhouse
bhoy     bhoy
biag     verbiage
bias     bias
biax     biaxial
bibb     bibb
bibe     imbibe
bich     bichromate
bick     bicker
bicu     rubicund
bicy     bicycle
bidj     Abidjan
bido     libido
bies     rabies
bifo     bifocal
bifu     bifurcate
bify     syllabify
biga     Abigail
biha     biharmonic
bijo     bijouterie
biki     bikini
bilg     bilge
bilh     bilharziasis
bilk     bilk
bilt     Vanderbilt
binu     binuclear
bioc     biochemic
biom     biometry
biop     biopsy
bios     symbiosis
bipl     biplane
bipo     bipolar
bira     biracial
birc     birch
bire     birefringent
birs     Novosibirsk
biso     bison
bisq     bisque
bitc     bitch
bitn     bitnet
bitw     bitwise
bitz     kibitz
bivo     bivouac
biza     bizarre
bjet     objet
bjun     subjunctive
blab     blab
blag     assemblage
blai     chilblain
blar     blare
bleb     bumblebee
blec     tablecloth
bleh     doubleheader
blei     Heublein
blel     tableland
blew     blew
bley     Sibley
blip     blip
bliq     oblique
bliz     blizzard
bloa     bloat
blob     blob
bloi     tabloid
blok     bloke
blol     loblolly
blos     blossom
blou     blouse
blub     blubber
blud     bludgeon
bluf     bluff
blui     bluish
blum     Rosenblum
bmea     crabmeat
bmer     submersible
bnai     thumbnail
bnor     abnormal
bnox     obnoxious
boam     Jeroboam
bobc     bobcat
bobo     bobolink
bodh     bodhisattva
bofa     turbofan
bofl     riboflavin
bogu     bogus
bogy     bogy
bohe     rhombohedral
bohy     carbohydrate
boje     turbojet
boke     Hoboken
bols     bolster
bonf     bonfire
bons     Gibbons
bonz     bonze
boob     booby
boog     boogie
bool     boolean
boos     boost
booz     booze
borr     borrow
bort     abort
boru     carborundum
bosc     stroboscopic
botc     botch
botf     botfly
boto     lobotomy
bouc     embouchure
bouf     bouffant
bouq     bouquet
bovi     bovine
bowf     bowfin
bowi     bowie
bows     bowstring
boxc     boxcar
boxw     boxwood
boyc     boycott
boyf     boyfriend
boyh     boyhood
boyi     boyish
bpoe     subpoena
bpro     bombproof
brah     Abraham
braw     brawl
bray     bray
brem     bremsstrahlung
brey     Aubrey
brio     salubrious
briq     sobriquet
brua     February
bruc     brucellosis
brue     imbrue
brup     abrupt
bsco     lobscouse
bscu     obscure
bsin     absinthe
bsto     tombstone
bsur     absurd
btai     obtain
bted     indebted
btfu     doubtful
btly     subtly
btor     debtor
bubb     bubble
buco     bucolic
budd     buddy
budo     barbudo
buga     bugaboo
buge     bugeyed
bugl     bugle
buke     rebuke
buki     Kabuki
bulg     bulge
bulr     bulrush
bulw     bulwark
bumi     albumin
buna     tribunal
bune     tribune
bunn     bunny
bunt     bunt
buqu     Albuquerque
bura     Bujumbura
buro     Politburo
burp     burp
busa     abusable
busb     busboy
busc     ambuscade
busy     busy
butl     butler
butu     arbutus
butz     kibbutzim
buxo     buxom
buye     buyer
bvia     obviate
bvio     obvious
bweb     cobweb
bygo     bygone
byla     bylaw
byli     byline
bypr     byproduct
byri     labyrinth
byro     byroad
bysa     babysat
bysh     Derbyshire
bysm     abysmal
byst     bystander
bywa     byway
bywo     byword
cAda     McAdams
cAll     McAllister
cArt     MacArthur
cBri     McBride
cCab     McCabe
cCan     McCann
cCau     McCauley
cCla     McClain
cCle     McClellan
cCor     McCormick
cCoy     McCoy
cCra     McCracken
cCul     McCullough
cDan     McDaniel
cDer     McDermott
cDow     McDowell
cElr     McElroy
cFad     McFadden
cFar     McFarland
cGee     McGee
cGil     McGill
cGin     McGinnis
cGov     McGovern
cGow     McGowan
cGui     McGuire
cHug     McHugh
cKay     McKay
cKee     McKee
cKeo     McKeon
cKes     McKesson
cKni     McKnight
cLau     McLaughlin
cLea     McLean
cLeo     McLeod
cMah     McMahon
cMul     McMullen
cNal     McNally
cNau     McNaughton
cNei     McNeil
cNul     McNulty
cPhe     McPherson
cabd     cabdriver
caca     cacao
cack     cackle
cadm     cadmium
cado     avocado
caho     cahoot
caim     caiman
cair     cairn
cajo     cajole
calp     scalp
calv     calve
cama     camaraderie
cami     camilla
can'     can't
cans     canst
capo     capo
capy     capybara
caqu     macaque
carm     carmine
cars     Scarsdale
caru     Icarus
casb     casbah
casm     sarcasm
catb     catbird
catf     catfish
catk     catkin
catl     catlike
catn     catnip
cats     catsup
cauc     caucus
caug     caught
caup     scaup
cavo     cavort
caye     cayenne
cayu     picayune
cbet     Macbeth
ccab     impeccable
ccal     baccalaureate
ccan     Moroccan
cced     accede
ccee     succeed
ccer     soccer
cchi     zucchini
cchu     Bacchus
ccia     breccia
ccli     acclimate
ccoo     raccoon
ccra     Accra
ccub     succubus
ceal     conceal
ceau     Marceau
ceba     voiceband
cebu     spicebush
cecr     spacecraft
ceda     cedar
cedi     cedilla
cege     miscegenation
ceil     ceil
cein     fluorescein
ceip     receipt
celi     celibacy
cels     excelsior
cemb     December
cenn     decennial
ceny     larceny
cepa     saucepan
cepl     faceplate
cepo     fencepost
cerp     excerpt
ceru     cerulean
cerv     cervix
cesa     diocesan
cesi     cesium
cesu     spacesuit
ceta     acetate
cetr     racetrack
ceut     pharmaceutic
chag     chagrin
chau     chauffeur
chaw     chaw
chba     watchband
chbe     Fischbein
chbi     archbishop
chcr     witchcraft
chdi     archdiocese
chef     chef
chei     Gegenschein
cheq     exchequer
chfi     Richfield
chfu     watchful
chge     switchgear
chhe     beachhead
chib     Archibald
chif     chiffon
chmo     Richmond
chob     psychobiology
chov     anchovy
chpa     sketchpad
chsa     vouchsafe
chsh     dachshund
chsi     Fuchsia
chti     lunchtime
chtr     Peachtree
chuf     chuff
chwe     Schweitzer
chwi     Auschwitz
chya     churchyard
chyl     Aeschylus
cibe     decibel
cicu     fasciculate
cies     species
cily     Sicily
cime     specimen
cimi     scimitar
cing     arcing
cinq     cinquefoil
cioe     socioeconomic
ciol     sociology
ciom     sociometry
cipe     recipe
civa     Percival
ckab     rockabye
ckan     jackanapes
ckas     jackass
ckat     cockatoo
ckaw     rockaway
ckax     pickaxe
ckbi     blackbird
ckbr     stockbroker
ckbu     Blackburn
ckci     dickcissel
ckcr     cockcrow
ckda     jackdaw
ckdo     knockdown
ckdr     backdrop
ckef     Rockefeller
ckfe     Blackfeet
ckfi     backfill
ckga     backgammon
ckgr     background
ckhe     Lockheed
ckia     Lockian
ckja     blackjack
ckkn     jackknife
cklu     lackluster
ckna     nickname
cknu     locknut
ckoo     cuckoo
ckpa     backpack
ckry     gimmickry
cksc     backscatter
cksk     buckskin
cksp     backspace
ckta     cocktail
ckth     buckthorn
ckto     Stockton
cktr     backtrack
ckus     ruckus
ckwh     buckwheat
claw     claw
clec     eclectic
cled     bespectacled
clef     cleft
clet     circlet
cleu     nucleus
clev     clever
cliq     clique
clis     cyclist
clob     clobber
clom     clomp
clor     cyclorama
clow     clown
cloy     cloy
cluc     cluck
clue     clue
clun     clung
cmen     Alcmena
cnos     anthracnose
coad     coadjutor
coau     coauthor
cobe     Jacobean
cobr     cobra
cobu     Jacobus
cobw     cobweb
coda     coda
codf     codfish
codp     codpiece
coef     coefficient
coel     viscoelastic
coeq     coequal
coes     frescoes
cogi     cogitate
cogr     lexicography
coid     discoid
coif     coiffure
coil     coil
cois     Francoise
cojo     picojoule
coke     coke
colm     Malcolm
coln     Lincoln
coly     acolyte
colz     colza
comr     comrade
conr     falconry
coor     coordinate
copl     coplanar
cops     scops
corb     corbel
corc     scorch
corm     cormorant
corv     corvette
cory     chicory
cosh     cosh
cosp     cosponsor
cota     cotangent
cotl     Scotland
cotm     cotman
coto     cotoneaster
couc     couch
couv     Vancouver
covi     Muscovite
covy     Muscovy
cowe     locoweed
cowg     cowgirl
cowo     coworker
cowr     cowry
cows     cowslip
coxc     coxcomb
coyo     coyote
coyp     coypu
coze     cozen
cozy     cozy
crad     cradle
cral     sacral
creo     creosote
crev     crevice
cric     cricket
crid     acrid
crie     cried
criv     scriven
crog     micrography
croj     microjoule
crol     scroll
croq     croquet
croy     croydon
crua     accrual
crub     scrub
crun     crunch
crux     crux
csim     facsimile
csne     csnet
csso     Ericsson
ctad     Schenectady
ctae     Actaeon
ctal     octal
ctaw     Choctaw
cted     biconnected
ctee     inductee
cten     octennial
ctet     octet
ctia     equinoctial
ctis     practise
ctma     selectman
ctme     selectmen
ctob     October
ctod     ectoderm
ctog     octogenarian
ctru     spectrum
ctum     dictum
ctwo     ductwork
cuad     Ecuador
cuat     evacuate
cubb     cubbyhole
cube     cube
cuck     cuckoo
cucu     cucumber
cuda     barracuda
cudg     cudgel
cuis     cuisine
culc     inculcate
culm     culminate
culv     culvert
cumi     cumin
cuml     circumlocution
cump     circumpolar
cuni     pecuniary
cunn     cunning
cupb     cupboard
cupe     recuperate
cupf     cupful
curf     curfew
cury     mercury
cusp     cusp
cuta     cutaneous
cutb     cutback
cutc     escutcheon
cutr     executrix
cuts     cutset
cutu     scutum
cutw     cutworm
cuum     vacuum
cyca     cycad
cyll     Scylla
cyni     cynic
cypr     cypress
d'ar     d'art
d'et     d'etat
d'oe     d'oeuvre
dabb     dabble
dabo     roundabout
dace     Candace
dack     Adirondack
dacy     candidacy
dadd     daddy
dagg     dagger
dagi     adagio
dahl     dahlia
daho     Idaho
dail     Houdaille
dalg     hidalgo
dalu     Daedalus
dalw     sandalwood
damo     cardamom
dana     Mindanao
dape     Budapest
darl     darling
darn     darn
dart     dart
dast     dastard
datu     datum
daub     daub
daun     daunt
dawn     dawn
day'     today'll
dayd     daydream
dayl     daylight
days     nowadays
dayt     daytime
daze     daze
dbac     feedback
dbak     hardbake
dban     midband
dbar     threadbare
dbea     childbear
dbit     tidbit
dbla     sandblast
dblo     roadblock
dboi     hardboiled
dboo     handbook
dbre     windbreak
dbuc     reedbuck
dbud     redbud
dbug     bedbug
dbus     shadbush
dbye     goodbye
dcap     madcap
dcar     woodcarver
dcas     broadcast
dcla     handclasp
dcli     Radcliffe
dcoa     redcoat
dcoc     woodcock
dcop     hardcopy
dcuf     handcuff
dcut     woodcut
ddad     Haddad
ddah     keddah
ddan     riddance
ddap     giddap
ddar     Goddard
ddau     granddaughter
dday     midday
ddes     goddess
ddha     Buddha
ddic     addict
ddon     Armageddon
ddox     Maddox
dduc     adduce
deau     Bordeaux
deaw     hideaway
debe     debenture
deck     deck
dedi     dedicate
deen     Aberdeen
deft     deft
defy     defy
dehu     dehumidify
deif     deify
deig     deign
deir     Madeira
deis     Brandeis
deit     deity
deja     deja
deje     deject
delb     Heidelberg
dels     Mendelssohn
delv     delve
delw     edelweiss
dene     goldeneye
denh     maidenhair
denr     goldenrod
deny     deny
deod     deodorant
deof     tradeoff
deon     Gideon
deot     videotape
depi     depict
derd     Lauderdale
derg     kindergarten
dert     Neanderthal
derv     dervish
desa     sidesaddle
desk     desk
desy     geodesy
dett     vendetta
deuc     deuce
deur     grandeur
deva     devastate
deve     develop
dewd     dewdrop
dewo     codeword
dewy     dewy
dezv     rendezvous
dfac     boldface
dfal     windfall
dfil     landfill
dfin     goldfinch
dfir     wildfire
dflo     shadflower
dfly     gadfly
dfre     Godfrey
dfru     breadfruit
dgam     endgame
dgap     bandgap
dgar     Edgar
dgat     floodgate
dgel     cudgel
dges     Hodges
dgki     Hodgkin
dgli     fledgling
dgme     abridgment
dgra     woodgrain
dgua     mudguard
dgun     handgun
dgwa     Ridgway
dhal     guildhall
dhan     secondhand
dhar     dharma
dhat     hardhat
dhen     woodhen
dhil     sandhill
dhof     Nordhoff
dhoo     childhood
diad     diadem
diak     Kodiak
dibb     dibble
didd     diddle
didn     didn't
dieh     diehard
diem     diem
dieu     adieu
difi     edifice
difl     difluoride
diga     prodigal
digg     digging
digo     indigo
digy     prodigy
dihe     dihedral
dikt     Benedikt
dimp     dimple
dinb     Edinburgh
dini     Houdini
dint     dint
dioi     cardioid
diox     dioxide
dipa     Oedipal
dipo     dipole
dipu     Oedipus
dira     Indira
dirg     dirge
disb     disburse
disi     Brindisi
disj     disjunct
disk     disk
disu     disulfide
disy     disyllable
ditr     punditry
ditu     expenditure
diur     diurnal
dius     radius
divu     divulge
diwo     handiwork
dixi     dixieland
dizz     dizzy
djac     adjacent
djam     Ndjamena
djan     Abidjan
djou     adjourn
djun     adjunct
dker     handkerchief
dlam     bedlam
dlar     medlar
dlea     handleable
dleh     muddlehead
dlei     Bodleian
dlep     needlepoint
dlia     Liverpudlian
dlif     wildlife
dlit     floodlit
dloo     broadloom
dlor     landlord
dlot     woodlot
dlow     Ludlow
dlum     hoodlum
dmad     handmade
dmai     handmaiden
dmar     landmark
dmas     headmaster
dmiu     cadmium
dmor     midmorn
dmos     hindmost
dmun     Edmund
dnan     ordnance
dnec     redneck
dnep     grandnephew
dner     Gardner
dnes     Wednesday
dnie     grandniece
dnig     midnight
dnou     dreadnought
doah     Shenandoah
dobs     dobson
doci     docile
dodg     dodge
dodo     dodo
does     doesn't
doeu     Indoeuropean
doge     endogenous
dogf     dogfish
dogh     doghouse
dogl     dogleg
dogw     dogwood
dois     Vaudois
dolc     dolce
dolf     Rudolf
domo     endomorphism
don'     don't
dona     donate
donk     donkey
dono     donor
dony     chalcedony
dood     doodle
dopa     dopant
dope     dope
doph     cladophora
dori     labradorite
dorn     adorn
doro     odorous
dorr     Andorra
dosa     dosage
dosc     kaleidoscope
dose     dose
dosp     endosperm
doss     dossier
dota     anecdotal
doti     peridotite
dott     Wyandotte
dotu     Herodotus
douc     douce
doun     redound
dowa     dowager
dowe     dowel
dowh     widowhood
dowl     meadowland
dowp     windowpane
dowr     dowry
dowy     shadowy
doxi     paradoxic
doxy     orthodoxy
dpap     sandpaper
dpas     bandpass
dpat     baldpate
dpec     woodpeck
dpho     headphone
dpie     codpiece
dpil     sandpile
dpip     sandpiper
dpla     swordplay
dpro     soundproof
drab     drab
drau     hydraulic
dreg     dreg
drei     Andrei
drey     Audrey
drob     wardrobe
drod     hydrodynamic
droe     hydroelectric
drof     hydrofluoric
drot     hydrothermal
drov     drove
drub     drub
druf     woodruff
drui     druid
drya     dryad
dsay     Lindsay
dscr     hardscrabble
dsec     midsection
dsee     birdseed
dsel     groundsel
dser     maidservant
dsey     Lindsey
dsho     bloodshot
dsig     hindsight
dske     groundskeep
dsle     Beardsley
dsmi     goldsmith
dsmo     Oldsmobile
dsom     handsome
dspi     handspike
dstu     foodstuff
dsur     windsurf
dtab     roundtable
dtac     hardtack
dtai     swordtail
dter     midterm
dthw     widthwise
dtim     bedtime
dubo     Audubon
duch     duchess
duel     duel
duet     duet
dugg     skullduggery
dugo     dugout
duis     Hinduism
dulc     dulcet
duls     dulse
duly     duly
dumm     dummy
dunc     dunce
dund     redundant
dune     dune
dunk     dunk
dupe     dupe
duri     during
duro     corduroy
dusa     Medusa
dutc     dutchess
duty     duty
duum     residuum
dvic     advice
dwag     bandwagon
dwav     handwaving
dwei     Budweiser
dwif     midwife
dwig     Ludwig
dwil     goodwill
dwit     godwit
dwiv     midwives
dy'l     somebody'll
dyce     Euridyce
dyea     Goodyear
dyei     dyeing
dyer     dyer
dyfe     ladyfern
dygo     gobbledygook
dygu     bodyguard
dyin     dying
dyli     ladylike
dyma     handyman
dyme     handymen
dyse     dysentery
dyst     dystrophy
dyte     troglodyte
dywi     brandywine
e'er     e'er
e've     we've
eaba     fleabane
eaca     teacart
eacr     wiseacre
eacu     teacup
eada     headache
eadd     headdress
eadh     deadhead
eadn     dreadnought
eadp     headphone
eadt     breadth
eafa     seafare
eafe     deafen
eafl     leaflet
eafy     leafy
eaga     Reagan
eagl     eagle
eagr     Seagram
eakd     breakdown
eakf     breakfast
eako     breakoff
eakp     breakpoint
eakt     breakthrough
eaku     breakup
eall     deallocate
ealm     realm
eama     seaman
eami     squeamish
eamm     teammate
eamt     dreamt
eamw     teamwork
eane     Deane
eanw     meanwhile
eapf     leapfrog
eapp     pineapple
eapt     leapt
eaqu     seaquake
eark     hearken
earp     earphone
earr     earring
easl     measle
eatb     sweatband
eatc     greatcoat
eatn     beatnik
eato     Keaton
eatt     Seattle
eauj     Beaujolais
eaum     Beaumont
eaur     Beauregard
eawe     seaweed
eawi     areawide
eawo     fleawort
eaza     Eleazar
ebae     amoebae
ebak     Studebaker
ebbi     Debbie
ebbl     pebble
ebby     Debby
ebee     bumblebee
ebeg     woebegone
ebei     plebeian
ebep     hebephrenic
ebia     plebian
ebit     debit
ebop     bebop
ebou     homebound
ebox     icebox
ebst     Webster
ebte     indebted
ebto     debtor
ebuc     roebuck
ebud     rosebud
ebuk     rebuke
ebun     debunk
ecac     ipecac
ecaf     decaffeinate
ecak     cheesecake
ecay     decay
ecce     eccentric
ecci     breccia
eccl     ecclesiastic
ecea     decease
ecel     decelerate
ecer     decertify
ecew     piecewise
echw     beechwood
echy     screechy
ecib     decibel
ecka     wreckage
eckb     checkbook
eckp     checkpoint
eckt     necktie
ecku     checkup
ecky     Becky
ecle     eclectic
ecoa     stagecoach
ecod     decode
ecot     Kennecott
ecou     decouple
ecox     praecox
ecoy     decoy
ecru     recruit
ectf     respectful
ecub     Hecuba
ecue     barbecue
edab     Ahmedabad
edaz     bedazzle
edba     feedback
edbe     seedbed
edbi     redbird
edbo     speedboat
edco     redcoat
eddo     Armageddon
edea     Medea
edec     predecessor
edee     irredeemable
edel     edelweiss
edfa     bedfast
edfu     needful
edgi     edging
edgl     fledgling
edgy     edgy
edhe     redhead
edho     Fredholm
edig     pedigree
edik     Benedikt
edir     Shedir
edli     seedling
edlo     wedlock
edme     freedmen
edn'     needn't
edos     reredos
edou     redound
edsh     redshank
edsi     bedside
edth     hundredth
edti     bedtime
edto     redtop
edun     redundant
edup     speedup
edus     Medusa
edwe     speedwell
edwo     redwood
edyg     gobbledygook
edyn     Teledyne
eebe     Beebe
eebl     feeble
eebo     freeboot
eebr     beebread
eeca     kneecap
eecu     coffeecup
eeda     creedal
eedf     needful
eedn     needn't
eeds     Leeds
eedu     speedup
eedw     speedwell
eefo     threefold
eefs     beefsteak
eefu     gleeful
eefy     beefy
eege     squeegee
eehi     beehive
eeho     freehold
eeis     absenteeism
eekb     cheekbone
eekd     weekday
eeky     cheeky
eela     Vreeland
eelb     wheelbase
eelc     wheelchair
eele     Steele
eelg     eelgrass
eelh     wheelhouse
eelm     steelmake
eels     keelson
eely     steely
eemi     preeminent
eenf     Greenfield
eeng     greengrocer
eenh     greenhouse
eeni     greenish
eenl     Greenland
eenp     screenplay
eepa     seepage
eeph     peephole
eepi     safekeeping
eepw     sleepwalk
eere     Deere
eerf     cheerful
eesh     keeshond
eeso     threesome
eesy     cheesy
eeta     cheetah
eetc     streetcar
eetl     beetle
eety     sleety
eeuw     Leeuwenhoek
eewh     freewheel
efan     Stefan
efau     default
efca     briefcase
efea     defeat
effo     effort
effr     Jeffrey
efia     defiant
efix     prefix
efoc     defocus
efoo     barefoot
efou     befoul
efre     carefree
efru     grapefruit
efst     beefsteak
efta     chieftain
eftm     leftmost
efto     leftover
eftw     leftward
efud     befuddle
egac     legacy
egah     megahertz
egav     megavolt
egbo     pegboard
egea     Aegean
egem     hegemony
eges     exegesis
egfr     Siegfried
eggh     egghead
eggp     eggplant
eggs     eggshell
eghe     Allegheny
egho     leghorn
egic     strategic
egie     Carnegie
egil     bluegill
egla     eyeglass
egmu     Siegmund
egnu     interregnum
egoa     scapegoat
egoc     egocentric
egoh     megohm
egoi     foregoing
egom     prolegomena
egos     Stegosaurus
egov     Segovia
egow     hoosegow
egru     begrudge
eguc     Tegucigalpa
egur     regurgitate
ehab     rehabilitate
ehai     horsehair
eham     sledgehammer
ehau     Fruehauf
ehel     beheld
eher     Teheran
ehes     behest
ehig     Lehigh
ehil     molehill
ehin     behind
ehis     prehistoric
ehiv     beehive
ehma     Lehman
ehog     hedgehog
ehov     Jehovah
ehow     somehow
ehra     Tehran
ehru     Nehru
ehud     Buxtehude
ehum     dehumidify
eiad     Pleiades
eich     Reich
eida     Oneida
eify     deify
eigl     inveigle
eigy     Geigy
eiji     Beijing
eiko     aniseikonic
eind     reindeer
einf     reinforce
einh     Reinhold
einr     Heinrich
eint     feint
einz     Heinz
eios     meiosis
eipt     receipt
eird     weird
eire     heiress
eiro     Janeiro
eiru     Beirut
eisa     obeisant
eish     geisha
eisu     leisure
eite     gauleiter
eitf     deceitful
eitu     forfeiture
eitz     Schweitzer
eize     seize
eizu     seizure
ejor     pejorative
ejuv     rejuvenate
ekbo     cheekbone
ekda     weekday
eken     weekend
eker     Bleeker
ekno     unbeknownst
ekon     Mekong
eksi     creekside
ekti     tektite
ektr     Tektronix
elae     Rensselaer
elah     Methuselah
elam     melamine
elap     elapse
elar     velar
elau     Menelaus
elaw     Delaware
elax     relaxation
elbe     Heidelberg
elby     Shelby
elco     welcome
eldm     Feldman
eldr     dieldrin
eldt     veldt
eldw     fieldwork
eldy     unwieldy
eled     Teledyne
elee     melee
elef     Telefunken
elek     telekinesis
elex     Telex
eley     Berkeley
elga     Helga
elge     Betelgeuse
elha     Pelham
elhi     Delhi
elho     wheelhouse
elil     Delilah
elip     harelip
elki     Selkirk
ellg     hellgrammite
ellh     bellhop
ells     Wells
ellt     telltale
ellw     bellwether
elme     helmet
elmh     Helmholtz
elmi     Wilhelmina
elmu     Helmut
elnu     hazelnut
eloa     planeload
eloc     velocity
elog     travelogue
eloq     eloquent
elov     belove
elpf     helpful
elpm     helpmate
elpo     Melpomene
elps     Phelps
elss     Mendelssohn
elst     Maelstrom
elsy     minstrelsy
elta     delta
eltd     meltdown
eltr     peltry
elts     Beltsville
eltw     meltwater
eltz     seltzer
elua     eluate
elug     deluge
eluj     hallelujah
elun     Nibelung
elwe     edelweiss
elwy     Selwyn
elya     Trevelyan
elyi     belying
elyn     Evelyn
elys     elysian
emab     irredeemable
emap     semaphore
emce     emcee
emij     demijohn
emio     epidemiology
emiu     premium
emiz     systemization
emlo     hemlock
emne     Clytemnestra
emno     Agamemnon
emoa     bemoan
emod     demodulate
emoi     memoir
emos     hemosiderin
empa     empathy
empr     empress
emse     themselves
emso     Clemson
emss     bremsstrahlung
emst     gemstone
emue     Lemuel
emun     remunerate
emwi     systemwide
emys     demystify
enam     enamel
enau     Renault
enbi     ovenbird
enbr     Greenbriar
enca     encapsulate
endg     endgame
endp     endpoint
enee     veneer
eneq     henequen
enew     renewal
enex     kleenex
enfa     enfant
enfi     Greenfield
enfu     eigenfunction
engr     greengrocer
engu     penguin
enib     Algenib
enii     genii
enip     plenipotentiary
enir     souvenir
enix     phoenix
eniz     denizen
enja     Benjamin
enjo     enjoinder
enki     Jenkins
enko     Lysenko
enle     Henley
enli     enliven
enlo     Menlo
enmi     enmity
enns     Pennsylvania
enoa     Genoa
enob     Grenoble
enov     renovate
enow     renown
enoz     Cenozoic
enpe     henpeck
enpl     screenplay
enpo     davenport
enre     genre
ensb     Greensboro
ensr     lebensraum
enss     Rensselaer
ensw     greensward
ensy     teensy
entg     Roentgen
entm     absentminded
enug     fenugreek
enul     penultimate
enva     eigenvalue
envo     envoy
envy     envy
enwi     Greenwich
enya     Kenya
enyo     Kenyon
enzo     aminobenzoic
enzw     Rosenzweig
eocc     preoccupy
eoce     geocentric
eocl     neoclassic
eoco     neoconservative
eocr     theocracy
eodu     geoduck
eohi     eohippus
eola     alveolar
eomy     aureomycin
eonb     pigeonberry
eonf     pigeonfoot
eonh     pigeonhole
eony     peony
eopr     neoprene
eoro     meteorology
eory     theory
eosc     stereoscopy
eoso     creosote
eota     videotape
eoul     Seoul
eowu     Beowulf
eozo     Paleozoic
epag     seepage
epau     epaulet
epay     ratepayer
epbu     Hepburn
epch     stepchild
epee     tepee
ephr     hebephrenic
ephs     Josephson
ephu     Josephus
epia     sepia
epim     epimorphism
epin     safekeeping
epmo     stepmother
epod     hodgepodge
epok     shitepoke
epox     epoxy
epoy     Sepoy
eppa     Sheppard
eppi     sidestepping
eppy     peppy
epra     deprave
epsk     sheepskin
epso     stepson
epst     sweepstake
epth     depth
epuc     sepuchral
epud     repudiate
epug     repugnant
epwa     sleepwalk
epwi     stepwise
equo     Sequoia
equy     obsequy
erbl     superbly
erck     Merck
erds     herdsman
erek     Derek
ereq     prerequisite
erev     wherever
erex     counterexample
erey     Monterey
erez     Perez
erfd     serfdom
ergh     Lindbergh
ergm     Bergman
ergo     ergodic
erih     perihelion
eriw     periwinkle
erje     interject
erko     Berkowitz
erkr     sauerkraut
erks     Berkshire
ermy     diathermy
ernb     Sternberg
ernh     Bernhard
erok     Cherokee
eroz     heterozygous
erpa     counterpart
erpl     perplex
erpt     excerpt
ersc     Herschel
ersf     Bakersfield
ersk     deerskin
ersw     bittersweet
ersy     controversy
ertm     concertmaster
erum     serum
eruv     Peruvian
erxe     Xerxes
eryb     everybody
eryd     everyday
erye     yesteryear
eryg     kerygma
erym     everyman
eryo     everyone
eryt     everything
eryw     everywhere
erzo     scherzo
esad     sidesaddle
esag     presage
esai     aforesaid
esak     namesake
esal     wholesale
esam     sesame
esap     Chesapeake
esbr     clothesbrush
esee     beseech
eseg     desegregate
eseu     Theseus
esex     Middlesex
esfo     Beresford
esge     Kresge
esgi     salesgirl
esgu     Lebesgue
eshw     freshwater
eshy     fleshy
esie     besiege
esil     resilient
eski     wineskin
esmi     besmirch
esmo     Desmond
esn'     doesn't
esna     rattlesnake
esno     Fresno
esod     mesoderm
esoe     wheresoever
esou     resourceful
esoz     Mesozoic
essn     Cessna
essr     Messrs
essu     pressure
estc     Westchester
estn     chestnut
estv     Crestview
estw     westward
esue     desuetude
eswe     minesweeper
etag     decolletage
etah     cheetah
etak     caretaker
etaw     getaway
etbo     pocketbook
etem     contretemps
etet     dietetic
etex     pretext
ethl     Bethlehem
etiq     etiquette
etka     Winnetka
etla     wetland
etle     beetle
etli     jetliner
etoe     mistletoe
etoi     planetoid
etok     betoken
etol     herpetology
etom     balletomane
etop     treetop
etos     ketosis
etot     teetotal
etox     detoxify
etpl     marketplace
etre     petrel
etsc     setscrew
etse     Betsey
etso     Stetson
etsy     Betsy
ettu     lettuce
etui     perpetuity
etul     petulant
etum     arboretum
etun     petunia
etuo     impetuous
etup     setup
etur     return
etwe     between
etwo     network
etyl     acetylene
etym     etymology
etza     quetzal
etzl     Metzler
etzs     Nietzsche
eubl     Heublein
euca     eucalyptus
euce     deuce
euci     leucine
eucr     eucre
eudi     Freudian
eudo     pseudo
euka     eukaryote
euke     leukemia
eulo     eulogy
eunt     hereunto
eupm     oneupmanship
eure     eureka
eurs     messieurs
euto     Teutonic
